year,hospital,mergeid,control,location,teach,bedsize,region
2006,9030,20069030,0,1,1,3,1
2006,9030,20069030,0,1,1,3,1
2006,9030,20069030,0,1,1,3,1
2006,9030,20069030,0,1,1,3,1
2006,9030,20069030,0,1,1,3,1
2006,9030,20069030,0,1,1,3,1
2007,6149,20076149,2,1,0,2,4
2007,6257,20076257,0,1,1,3,4
2007,6257,20076257,0,1,1,3,4
2007,6257,20076257,0,1,1,3,4
2007,6257,20076257,0,1,1,3,4
2007,6285,20076285,1,1,0,3,4
2007,6525,20076525,0,1,1,2,4
2007,6548,20076548,2,1,0,3,4
2007,6624,20076624,0,1,1,1,4
2007,6624,20076624,0,1,1,1,4
2007,6624,20076624,0,1,1,1,4
2007,6624,20076624,0,1,1,1,4
2007,6624,20076624,0,1,1,1,4
2007,6624,20076624,0,1,1,1,4
2007,6632,20076632,0,1,1,3,4
2007,6641,20076641,2,1,0,3,4
2007,6641,20076641,2,1,0,3,4
2007,6641,20076641,2,1,0,3,4
2007,6641,20076641,2,1,0,3,4
2007,6641,20076641,2,1,0,3,4
2007,6641,20076641,2,1,0,3,4
2008,4022,20084022,0,1,1,3,4
2008,5013,20085013,2,0,0,3,3
2008,5064,20085064,2,1,0,2,3
2008,5083,20085083,0,1,1,3,3
2008,6002,20086002,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6081,20086081,0,1,1,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6276,20086276,2,1,0,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,6626,20086626,0,1,1,3,4
2008,9030,20089030,0,1,1,3,1
2008,9030,20089030,0,1,1,3,1
2008,9030,20089030,0,1,1,3,1
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4050,20094050,0,1,1,3,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,4117,20094117,0,1,1,2,4
2009,6060,20096060,0,1,1,3,4
2009,6060,20096060,0,1,1,3,4
2009,6060,20096060,0,1,1,3,4
2009,6060,20096060,0,1,1,3,4
2009,6060,20096060,0,1,1,3,4
2009,6060,20096060,0,1,1,3,4
2009,6060,20096060,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6081,20096081,0,1,1,3,4
2009,6144,20096144,2,1,0,3,4
2009,6624,20096624,0,1,1,1,4
2009,6624,20096624,0,1,1,1,4
2009,6624,20096624,0,1,1,1,4
2009,6624,20096624,0,1,1,1,4
2009,6624,20096624,0,1,1,1,4
2009,6624,20096624,0,1,1,1,4
2009,6624,20096624,0,1,1,1,4
2009,6624,20096624,0,1,1,1,4
2009,6641,20096641,2,1,0,3,4
2009,6641,20096641,2,1,0,3,4
2009,6641,20096641,2,1,0,3,4
2009,6641,20096641,2,1,0,3,4
2009,6641,20096641,2,1,0,3,4
2009,6641,20096641,2,1,0,3,4
2009,6641,20096641,2,1,0,3,4
