"","procedures","meanDay","meanDayFromLVAD","n"
"197",3619,0.222222222222222,-0.222222222222222,9
"198",3631,3.5,-1,4
"199",3691,0,0,3
"200",3699,3.18181818181818,0.545454545454545,11
"201",3710,11.4615384615385,-1.53846153846154,13
"202",3711,22.5217391304348,14.304347826087,23
"203",3712,26.1232876712329,12.7671232876712,73
"204",3720,1.66666666666667,-12.3333333333333,3
"205",3721,9.12787723785166,-7.29667519181586,782
"206",3722,2.69230769230769,-4.03846153846154,156
"207",3723,6.11695906432749,-4.34502923976608,171
"208",3725,40.8820512820513,28.425641025641,195
"209",3726,19.5111111111111,5.35555555555556,45
"210",3727,14.625,-0.5,16
"211",3728,8.2,1.1,10
"212",3731,22.2,13.4,5
"213",3732,10.047619047619,0.0952380952380952,21
"214",3733,8.91666666666667,-0.270833333333333,48
"215",3734,18.375,6,32
"216",3735,6.375,-6.5,16
"217",3736,5.55,-0.8,20
"218",3741,11.875,1.25,8
"219",3749,7.14678899082569,0.229357798165138,109
"220",3751,52.7478260869565,37.904347826087,115
"221",3752,8.75,-4.5,4
"222",3753,36,26,1
"223",3754,4.5,-2.5,2
"224",3755,11.6666666666667,7.66666666666667,3
"225",3760,1,-30,1
"226",3761,7.23978919631094,-4.01449275362319,759
"227",3762,7.51851851851852,-2.76543209876543,81
"228",3763,23.3728813559322,12.2542372881356,59
"229",3764,22.8010204081633,14.2780612244898,392
"230",3765,11.7692307692308,0.730769230769231,52
"231",3766,9.80555555555556,0.382051282051282,2340
"232",3768,10.5932203389831,0.169491525423729,59
"233",3771,13.5,2.5,4
"234",3772,35.2727272727273,20.1818181818182,11
"235",3773,101,99,1
"236",3774,13.2,-0.466666666666667,15
"237",3775,19.2,1.3,10
"238",3776,20.8,8.4,5
"239",3777,22.4117647058824,9.11764705882353,34
"240",3778,5.96296296296296,-0.222222222222222,27
"241",3779,26.71875,7.59375,32
"242",3781,12.6666666666667,-1.33333333333333,3
"243",3782,58.5,56.5,2
"244",3783,42.1111111111111,24.7777777777778,9
"245",3787,1,0,1
"246",3789,69.25,32,4
"247",3790,3,0,1
"248",3791,7.29166666666667,2.70833333333333,24
"249",3794,24.0625,12.45,80
"250",3795,13,8,1
"251",3796,28.5,20.5,2
"252",3797,29,12.5,2
"253",3798,23.3076923076923,12.3076923076923,13
"254",3799,32.972972972973,22.6216216216216,37
"255",3802,44,27,1
"256",3803,12.6666666666667,8,6
"257",3804,3,0,2
"258",3805,4.5625,-12.5,16
"259",3806,2,-52,1
"260",3808,13.3703703703704,-3.18518518518519,27
"261",3809,18,0,1
"262",3812,7,-7.14285714285714,7
"263",3813,10,4,1
"264",3814,6,0,2
"265",3816,16,1,2
"266",3818,18.5,0,2
"267",3826,10.3333333333333,0,3
"268",3834,7,0,1
"269",3844,1.8,0,5
"270",3845,3.55,-1.35,20
"271",3848,1,1,1
"272",3849,3,0,1
"273",3864,21,0,1
"274",3865,207,186,1
"275",3884,0,0,1
"276",3885,13.4375,2.25,16
"277",3886,2,1,1
"278",3888,97,34,1
"279",3891,9.956,1.456,250
"280",3893,12.3488372093023,0.631782945736434,774
"281",3894,4.5,-6.5,2
"282",3895,19.873417721519,10.746835443038,158
"283",3897,11.65,0,60
"284",3898,9,3,3
"285",3899,1,-10,1
"286",3922,1,-2,1
"287",3923,6,0,1
"288",3925,2,0.5,2
"289",3927,82,66.6666666666667,3
"290",3929,0,0,1
"291",3930,72,52,2
"292",3931,8.65384615384615,1,78
"293",3932,8.68,1.32,25
"294",3941,11.5238095238095,2,21
"295",3949,15.25,7,8
"296",3950,9.53846153846154,-5.92307692307692,13
"297",3952,28.5,26.75,4
"298",3953,6,6,1
"299",3956,16.5789473684211,8.68421052631579,19
"300",3957,13,5.26666666666667,15
"301",3958,1.33333333333333,1.33333333333333,3
"302",3959,10.9230769230769,-3.92307692307692,13
"303",3961,11.7810311903246,3.16740929344367,1571
"304",3962,6.63636363636364,0.0909090909090909,11
"305",3963,7.75675675675676,-0.243243243243243,37
"306",3964,7.5625,0.8125,16
"307",3965,7.1010101010101,-1.64646464646465,99
"308",3966,10.3333333333333,0,3
"309",3972,18,17,1
"310",3973,3,0,1
"311",3974,32,21,1
"312",3975,29,18,1
