,procedures,meanDay,meanDayFromLVAD,n
428,8191,21.57142857,0,14
562,9396,2.571428571,-3.142857143,14
585,9749,10,0.142857143,14
244,3798,23.30769231,12.30769231,13
288,3957,14.53846154,6.076923077,13
294,3964,4.307692308,-0.076923077,13
382,5459,37.61538462,33.76923077,13
499,8854,4.153846154,-7.230769231,13
19,51,17.66666667,-3,12
97,3129,39.66666667,31.16666667,12
110,3321,21,14.5,12
126,3406,31.75,14.83333333,12
172,3593,5.5,0,12
192,3710,12.25,-1.666666667,12
336,4543,58.91666667,19.83333333,12
358,5012,22.25,2.916666667,12
432,8309,7.25,1.25,12
438,8345,17.66666667,13.41666667,12
476,8703,12.91666667,6.666666667,12
535,8965,5.583333333,-1.333333333,12
56,370,25.72727273,11.18181818,11
132,3451,49.81818182,31.36363636,11
191,3699,3.181818182,0.545454545,11
285,3950,9.636363636,-1.727272727,11
290,3959,10.72727273,-4.727272727,11
377,5411,40.81818182,30.36363636,11
3,13,7.9,-2.4,10
16,47,1.7,-5,10
123,3402,8.1,4.2,10
202,3728,8.2,1.1,10
225,3772,36.8,26.5,10
228,3775,19.2,1.3,10
312,4131,18.5,-1.3,10
367,5122,11.8,5.6,10
489,8843,14.3,6.6,10
500,8855,3.3,-3.3,10
509,8871,4.8,-0.1,10
523,8945,8.1,1.1,10
568,9607,16.2,1.2,10
617,9971,7.1,-2.5,10
11,41,1.777777778,-2.888888889,9
59,387,23.77777778,10.88888889,9
154,3527,17.88888889,0.333333333,9
188,3619,0.222222222,-0.222222222,9
266,3885,10.11111111,3.222222222,9
292,3962,4,0.111111111,9
301,3979,37.33333333,27.22222222,9
309,4011,9.666666667,-5.222222222,9
337,4562,43.66666667,41.77777778,9
490,8844,9.555555556,3.222222222,9
514,8876,15.77777778,5.555555556,9
567,9605,18.88888889,7.777777778,9
605,9919,6.666666667,-0.888888889,9
609,9929,2.888888889,-8,9
624,9999,7.222222222,0,9
12,42,0.5,-1.75,8
15,46,2.375,-2.5,8
115,3327,13.75,-12.25,8
164,3561,15.25,1,8
209,3741,11.875,1.25,8
235,3783,44.875,33.25,8
357,5011,37.75,4.25,8
450,8415,27,19.625,8
460,8607,23.125,16.375,8
487,8841,21,3.125,8
496,8851,17.625,7.5,8
556,9375,22.875,7.625,8
65,540,40.28571429,23.42857143,7
128,3421,40.28571429,26.14285714,7
155,3528,9.714285714,0,7
160,3552,8.571428571,5.142857143,7
165,3562,2.857142857,0,7
178,3605,2,-2,7
253,3812,7,-7.142857143,7
284,3949,16.28571429,8,7
363,5101,31.57142857,19.57142857,7
364,5103,29.71428571,25,7
368,5123,42.71428571,31.57142857,7
384,5462,22,12.85714286,7
387,5472,46.42857143,10.71428571,7
415,7731,14.14285714,6.714285714,7
508,8867,19.14285714,6.285714286,7
553,9357,25.85714286,-4.714285714,7
621,9978,11,-0.428571429,7
22,54,23.16666667,2.166666667,6
57,374,10.33333333,1.166666667,6
74,639,24.83333333,5.833333333,6
78,863,8.833333333,3.5,6
181,3609,3.333333333,-9,6
247,3803,12.66666667,8,6
379,5419,24,18,6
401,5732,18.16666667,7.666666667,6
435,8339,15.83333333,-19.16666667,6
468,8665,7.666666667,0,6
552,9356,29.66666667,1.333333333,6
620,9977,15.16666667,0.666666667,6
7,24,1,-2.8,5
23,56,13.6,-2.4,5
119,3343,9.2,2.8,5
