hospital,control,location,teach,bedsize,region,teachloc
6139,2,1,1,1,4,3
6140,3,1,0,1,4,2
6141,2,1,0,2,4,2
6142,3,,,1,4,2
6143,2,1,0,2,4,2
6144,0,1,1,3,4,3
6145,1,0,0,1,4,1
6147,3,1,0,2,4,2
6148,3,1,0,1,4,2
6149,1,1,0,2,4,2
6150,1,1,0,1,4,2
6153,2,,,3,4,3
6154,2,1,0,3,4,2
6156,3,1,0,1,4,2
6157,3,1,0,2,4,2
6158,2,1,0,2,4,2
6159,2,,,1,4,2
6160,1,0,0,1,4,1
6162,2,0,0,2,4,1
6163,1,0,0,2,4,1
6164,0,1,1,3,4,3
6166,3,1,0,1,4,2
6167,3,,,1,4,2
6168,3,,,2,4,2
6172,1,0,0,2,4,1
6173,2,1,0,2,4,2
6174,1,1,0,3,4,2
6175,2,1,0,2,4,2
6176,3,1,0,1,4,2
6180,0,1,1,1,4,3
6181,2,1,0,2,4,2
6182,2,1,0,2,4,2
6183,0,1,1,2,4,3
6184,0,1,1,3,4,3
6187,2,1,0,3,4,2
6188,3,1,0,2,4,2
6189,4,0,0,3,4,1
6190,1,,,1,4,1
6191,2,0,0,1,4,1
6192,1,1,0,3,4,2
6193,2,1,0,3,4,2
6194,3,1,0,1,4,2
6195,1,1,0,1,4,2
6196,1,0,0,1,4,1
6197,2,1,0,1,4,2
6199,1,0,0,1,4,1
6202,4,0,0,2,4,1
6203,3,1,0,1,4,2
6205,0,1,1,3,4,3
6206,1,1,0,1,4,2
6207,0,1,1,3,4,3
6208,2,1,0,2,4,2
6210,0,1,1,2,4,3
6216,0,1,1,2,4,3
6217,3,1,0,2,4,2
6220,1,,,1,4,2
6221,2,1,0,3,4,2
6223,1,1,0,3,4,2
6224,3,,,1,4,2
6225,3,1,0,2,4,2
6226,3,,,1,4,2
6230,2,1,0,1,4,2
6231,1,0,0,1,4,1
6233,0,1,1,3,4,3
6234,0,1,1,2,4,3
6239,2,1,0,3,4,2
6240,2,,,2,4,2
6241,3,1,0,2,4,2
6242,2,,,2,4,2
6245,4,0,0,3,4,1
6246,1,0,0,2,4,1
6249,1,1,0,1,4,2
6252,3,,,2,4,2
6253,2,1,0,2,4,2
6254,0,1,1,1,4,3
6255,2,1,0,2,4,2
6256,1,1,0,2,4,2
6257,0,1,1,3,4,3
6258,2,,,1,4,2
6260,2,1,0,3,4,2
6262,2,1,0,3,4,2
6264,0,1,1,1,4,3
6266,1,0,0,1,4,1
6268,2,,,2,4,2
6269,3,1,0,1,4,2
6271,3,1,0,2,4,2
6272,0,1,1,2,4,3
6274,2,1,0,3,4,2
6275,1,0,0,3,4,1
6276,2,1,1,2,4,3
6277,2,1,0,3,4,2
6278,3,1,0,1,4,2
6281,2,1,0,3,4,2
6284,2,1,1,2,4,3
6285,1,1,0,3,4,2
6286,2,1,0,2,4,2
6288,2,1,0,2,4,2
6289,1,1,0,1,4,2
6291,2,1,0,2,4,2
6292,3,1,0,2,4,2
6293,1,1,0,1,4,2
6295,2,1,1,1,4,3
6296,2,1,0,2,4,2
6298,3,1,0,1,4,2
6299,1,1,0,2,4,2
6300,1,0,0,1,4,1
6301,0,1,1,2,4,3
6303,3,1,0,1,4,2
6306,2,1,0,3,4,2
6308,2,1,0,1,4,2
6309,2,1,0,3,4,2
6310,2,1,0,3,4,2
6311,3,,,1,4,2
6312,4,0,0,2,4,1
6317,2,,,2,4,2
6318,2,1,0,3,4,2
6319,2,1,0,3,4,2
6320,2,1,0,1,4,2
6321,1,0,0,3,4,1
6323,1,0,0,2,4,1
6326,2,1,0,3,4,2
6332,2,1,0,1,4,2
6333,3,1,1,2,4,3
6335,1,1,0,1,4,2
6336,3,1,0,1,4,2
6337,3,1,0,1,4,2
6338,2,1,0,3,4,2
6339,2,1,0,3,4,2
6341,3,1,0,2,4,2
6342,2,1,0,1,4,2
6343,3,1,0,1,4,2
6345,2,1,0,3,4,2
6347,2,1,0,3,4,2
6348,2,1,0,3,4,2
6350,0,1,1,3,4,3
6351,2,1,0,2,4,2
6358,4,0,0,2,4,1
6359,2,1,0,2,4,2
6364,2,1,0,3,4,2
6365,2,1,0,2,4,2
6367,2,1,0,3,4,2
6369,3,1,0,2,4,2
6370,0,1,1,2,4,3
6374,2,1,0,3,4,2
6375,2,1,0,3,4,2
6376,2,1,0,3,4,2
6380,1,1,0,2,4,2
6381,3,1,0,1,4,2
6382,0,1,1,3,4,3
6385,2,1,0,1,4,2
6387,2,1,0,3,4,2
6388,2,1,0,3,4,2
6390,1,0,0,1,4,1
6393,1,0,0,1,4,1
6395,2,1,0,3,4,2
6397,3,1,0,1,4,2
6398,3,1,0,3,4,2
6399,3,1,0,3,4,2
6400,1,0,0,2,4,1
6403,3,1,0,3,4,2
6404,2,1,0,1,4,2
6406,2,,,2,4,2
6407,1,1,1,2,4,3
6408,0,1,1,2,4,3
6409,3,1,0,2,4,2
